Date,Time,heart rate variability
2025.11.09 03:25:39,03:25:39,50.0
2025.11.09 03:30:39,03:30:39,48.0
2025.11.09 03:35:39,03:35:39,46.0
2025.11.09 03:40:39,03:40:39,42.0
2025.11.09 03:45:39,03:45:39,54.0
2025.11.09 03:50:39,03:50:39,54.0
2025.11.09 03:55:39,03:55:39,45.0
2025.11.09 04:00:39,04:00:39,46.0
2025.11.09 04:05:39,04:05:39,42.0
2025.11.09 04:10:39,04:10:39,38.0
2025.11.09 04:15:39,04:15:39,45.0
2025.11.09 04:20:39,04:20:39,40.0
2025.11.09 04:25:39,04:25:39,42.0
2025.11.09 04:30:39,04:30:39,41.0
2025.11.09 04:35:39,04:35:39,40.0
2025.11.09 04:40:39,04:40:39,44.0
2025.11.09 04:45:39,04:45:39,55.0
2025.11.09 04:50:39,04:50:39,31.0
2025.11.09 04:55:39,04:55:39,30.0
2025.11.09 05:00:39,05:00:39,51.0
2025.11.09 05:05:39,05:05:39,61.0
2025.11.09 05:10:39,05:10:39,70.0
2025.11.09 05:15:39,05:15:39,42.0
2025.11.09 05:20:39,05:20:39,58.0
2025.11.09 05:25:39,05:25:39,39.0
2025.11.09 05:30:39,05:30:39,41.0
2025.11.09 05:35:39,05:35:39,35.0
2025.11.09 05:40:39,05:40:39,42.0
2025.11.09 05:45:39,05:45:39,43.0
2025.11.09 05:50:39,05:50:39,58.0
2025.11.09 05:55:39,05:55:39,51.0
2025.11.09 06:00:39,06:00:39,54.0
2025.11.09 06:05:39,06:05:39,47.0
2025.11.09 06:10:39,06:10:39,51.0
2025.11.09 06:15:39,06:15:39,62.0
2025.11.09 06:20:39,06:20:39,69.0
2025.11.09 06:25:39,06:25:39,80.0
2025.11.09 06:30:39,06:30:39,49.0
2025.11.09 06:35:39,06:35:39,47.0
2025.11.09 06:40:39,06:40:39,42.0
2025.11.09 06:45:39,06:45:39,53.0
2025.11.09 06:50:39,06:50:39,59.0
2025.11.09 06:55:39,06:55:39,78.0
2025.11.09 07:00:39,07:00:39,56.0
2025.11.09 07:05:39,07:05:39,35.0
2025.11.09 07:10:39,07:10:39,33.0
2025.11.09 07:15:39,07:15:39,35.0
2025.11.09 07:20:39,07:20:39,67.0
2025.11.09 07:25:39,07:25:39,65.0
2025.11.09 07:30:39,07:30:39,76.0
2025.11.09 07:35:39,07:35:39,68.0
2025.11.09 07:40:39,07:40:39,65.0
2025.11.09 07:45:39,07:45:39,48.0
2025.11.09 07:50:39,07:50:39,54.0
2025.11.09 07:55:39,07:55:39,57.0
2025.11.09 08:00:39,08:00:39,62.0
2025.11.09 08:05:39,08:05:39,56.0
2025.11.09 08:10:39,08:10:39,58.0
2025.11.09 08:15:39,08:15:39,54.0
2025.11.09 08:20:39,08:20:39,65.0
2025.11.09 08:25:39,08:25:39,67.0
2025.11.09 08:30:39,08:30:39,54.0
2025.11.09 08:35:39,08:35:39,46.0
2025.11.09 08:40:39,08:40:39,64.0
2025.11.09 08:45:39,08:45:39,54.0
